1250 NCMC steps,,
Replicate ,Accepted frame,BLUES Iteration
1,12704,3176
2,11132,2783
3,8928,2232
4,15584,3896
5,4176,1044
6,2608,652
7,35008,8752
8,28068,7017
9,4004,1001
10,18856,4714
,,
2500 NCMC steps,,
Replicate ,Accepted frame,BLUES Iteration
1,2384,596
2,3344,836
3,776,194
4,2450,612
5,4001,1000
6,5680,1420
7,7644,1911
8,1888,472
9,352,88
10,1368,342
,,
5000 NCMC steps,,
Replicate ,Accepted frame,BLUES Iteration
1,1132,283
2,1000,250
3,68,17
4,1660,415
5,704,176
6,1192,298
7,88,22
8,224,56
9,776,194
10,484,121
,,
7500 NCMC steps,,
Replicate ,Accepted frame,BLUES Iteration
2,748,187
3,644,161
4,64,16
5,92,23
6,32,8
8,752,188
9,744,186
10,308,77
11,904,226
12,148,37
,,
20000 NCMC steps,,
Replicate ,Accepted frame,BLUES Iteration
1,92,23
2,764,191
3,924,231
5,536,134
6,112,28
7,916,229
8,36,9
9,172,43
10,676,169
11,632,158
12,88,22
,,
10000 NCMC steps,,
Replicate ,Accepted frame,BLUES Iteration
2,536,134
3,960,240
4,280,70
5,676,169
6,688,172
7,172,43
8,100,25
10,56,14
11,92,23
12,688,172
,,
15000 NCMC steps,,
Replicate ,Accepted frame,BLUES Iteration
2,716,179
3,708,177
4,264,66
5,716,179
6,160,40
7,28,7
8,364,91
9,272,68
11,420,105
12,812,203
,,
30000 NCMC steps,,
Replicate ,Accepted frame,BLUES Iteration
1,736,184
2,140,35
3,260,65
4,168,42
5,16,4
6,284,71
7,960,240
8,188,47
9,612,153
10,220,55
11,40,10
12,264,66